INDEX,RENT
1,31749.916666666668
2,28300.0
3,24315.736842105263
4,25666.666666666668
5,25952.42105263158
6,37280.0
7,80823.0
8,25323.529411764706
9,26000.0
10,27647.058823529413
11,22299.9
12,59499.5
13,52722.11111111111
14,34500.0
15,23777.333333333332
16,26666.666666666668
17,22925.0
18,30000.0
19,23214.214285714286
20,34212.5
21,49399.545454545456
22,27878.571428571428
23,22296.153846153848
24,22400.0
25,16900.0
26,18060.846153846152
27,24500.0
28,20443.333333333332
29,41454.454545454544
30,37750.0
31,26000.0
32,28053.333333333332
33,35620.0
34,26041.666666666668
35,18062.5
36,27368.42105263158
37,24000.0
38,24000.0
39,18264.285714285714
40,28000.0
41,28600.0
42,26375.0
43,24785.714285714286
44,21420.0
45,29666.333333333332
46,23200.0
47,34305.21052631579
48,31312.1875
49,22631.57894736842
50,20687.3125
51,27500.0
52,16500.0
53,25764.70588235294
54,22142.85714285714
55,23505.263157894737
56,23846.153846153848
57,25421.052631578947
58,72499.66666666667
59,59666.555555555555
60,25357.14285714286
61,29785.714285714286
62,22882.352941176472
63,21730.0
64,23315.78947368421
65,26727.272727272728
66,27550.0
67,37417.64705882353
68,42466.583333333336
69,23526.315789473683
70,22411.764705882353
71,24964.11111111111
72,30642.85714285714
73,25833.333333333332
74,23000.0
75,24377.777777777777
76,26000.0
77,28012.4375
78,34631.57894736842
79,29000.0
80,20999.0
81,28111.11111111111
82,65835.21428571429
83,49937.5
84,29666.5
85,29666.666666666668
86,55699.7
87,31000.0
88,24553.69230769231
89,22541.176470588234
90,21192.30769230769
91,24411.764705882353
92,39009.09090909091
93,32642.85714285714
94,26236.363636363636
95,25066.6
96,23545.454545454544
97,30000.0
98,25000.0
99,26000.0
100,20928.071428571428
101,21192.0
102,26516.38888888889
103,27000.0
104,20332.5
105,25500.0
106,35000.0
107,24973.63157894737
108,20800.0
109,31117.555555555555
110,23833.333333333332
111,28357.14285714286
112,34631.57894736842
113,21642.85714285714
114,28400.0
115,26375.0
116,21166.666666666668
117,24624.75
118,28000.0
119,17016.666666666668
120,28382.352941176472
121,26599.8
122,22000.0
123,21887.5
124,23616.5
125,34999.0
126,26218.375
127,28000.0
128,23053.76923076923
129,29400.0
130,35700.0
131,29000.0
132,27076.923076923078
133,23214.214285714286
134,35750.0
135,26856.571428571428
136,28222.222222222223
137,26000.0
138,38329.333333333336
139,27846.153846153848
140,23000.0
141,32000.0
142,61083.083333333336
143,25000.0
144,23966.466666666667
145,23931.1875
146,28460.0
147,24578.947368421053
148,24000.0
149,26230.76923076923
150,24800.0
151,26268.846153846152
152,25438.777777777777
153,24000.0
154,24199.8
155,40833.333333333336
156,27428.214285714286
157,28646.941176470587
158,22312.3125
159,24112.375
160,60999.625
161,24000.0
162,24718.75
163,26545.454545454544
164,21422.222222222223
165,25499.0
166,22846.0
167,44012.3125
168,24500.0
169,26631.473684210527
170,25000.0
171,125999.0
172,23583.333333333332
173,100312.5
174,26454.545454545456
175,53000.0
176,23457.4375
177,27650.0
178,32812.5
179,24642.85714285714
180,15923.29411764706
181,124666.26666666666
182,29437.375
183,26707.0
184,31833.25
185,25466.666666666668
186,24416.666666666668
187,27166.666666666668
188,19999.666666666668
189,25000.0
190,28700.0
191,32000.0
192,24958.333333333332
193,24815.473684210527
194,77631.31578947368
195,27625.0
196,31833.333333333332
197,23000.0
198,28576.352941176472
199,38464.142857142855
200,30411.764705882353
201,30888.88888888889
202,28000.0
203,42000.0
204,21111.11111111111
205,45250.0
206,30000.0
207,24068.75
208,34499.333333333336
209,26000.0
210,25055.555555555555
211,49277.77777777778
212,28909.090909090908
213,22000.0
214,27072.727272727272
215,19344.333333333332
216,58890.63636363636
217,20599.7
218,31125.0
219,44966.333333333336
220,21545.454545454544
221,119142.85714285714
222,18033.333333333332
223,34599.8
224,17909.090909090908
225,23111.11111111111
226,16193.333333333334
227,26900.0
228,44384.61538461538
229,33000.0
230,22653.846153846152
231,22578.684210526317
232,22335.69230769231
233,20000.0
234,23973.63157894737
235,22144.75
236,25500.0
237,49049.944444444445
238,23833.166666666668
239,25133.333333333332
240,70640.0
241,25899.8
242,38376.666666666664
243,25093.333333333332
244,25840.0
245,32333.0
246,25266.666666666668
247,24599.9
248,31133.333333333332
249,23384.46153846154
250,23760.944444444445
251,25545.454545454544
252,29250.0
253,23482.352941176472
254,24815.473684210527
255,26000.0
256,43576.666666666664
257,20168.75
258,29999.666666666668
259,22415.78947368421
260,97923.07692307692
261,20827.63157894737
262,47684.21052631579
263,49452.77777777778
264,29333.333333333332
265,28166.466666666667
266,25249.5
267,24157.63157894737
268,32000.0
269,17833.333333333332
270,22666.666666666668
271,32000.0
272,21633.266666666666
273,26666.466666666667
274,24062.5
275,54083.36842105263
276,66000.0
277,25874.875
278,21428.0
279,105000.0
280,32000.0
281,43705.882352941175
282,26000.0
283,21944.444444444445
284,21974.75
285,109181.81818181818
286,34999.0
287,26000.0
288,25235.29411764706
289,22849.9
290,24500.0
291,23000.0
292,56999.78947368421
293,24411.764705882353
294,69368.15789473684
295,29000.0
296,24999.384615384617
297,25000.0
298,42944.444444444445
299,27393.266666666666
300,24000.0
301,24093.5
302,77999.85714285714
303,31533.333333333332
304,24100.0
305,35615.38461538462
306,28000.0
307,24205.647058823528
308,23215.78947368421
309,27621.052631578947
310,32142.714285714286
311,25000.0
312,59812.0625
313,53000.0
314,29428.285714285714
315,28500.0
316,25000.0
317,25949.9
318,23000.0
319,19707.4375
320,20950.0
321,26473.684210526317
322,70544.27777777778
323,40000.0
324,21935.23076923077
325,45062.5
326,35000.0
327,20571.214285714286
328,27249.875
329,49999.5
330,21749.875
331,28000.0
332,24866.583333333332
333,24161.055555555555
334,32307.69230769231
335,23333.333333333332
336,26249.75
337,24571.428571428572
338,25769.23076923077
339,24222.222222222223
340,28000.0
341,27526.21052631579
342,26000.0
343,37285.642857142855
344,95076.76923076923
345,48333.333333333336
346,22064.285714285714
347,21833.333333333332
348,26800.0
349,24857.14285714286
350,46235.294117647056
351,46857.142857142855
352,23000.0
353,23500.0
354,33000.0
